Name;Supervisor;StProgram;FieldOfStudy;IsFullTimeStudy;IsExternalStudy;ResearchType;Description;Created
Vývoj, kalibrácia a aplikácia modelov biologických buniek;doc. Mgr. Ivan Cimrák, Dr.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;TRUE;základný výskum;Pre pochopenie správania sa biologických buniek v toku kvapaliny sa okrem biologických experimentov používajú výpočtové modely. Tieto vedia zachytiť deformáciu buniek, ich trajektórie a interakcie s prekážkami, adhéziu ku rôznym povrchom.<br>Aktuálne používané modely popisujú vždy len niektoré mechanické alebo biologické fenomény. Budeme sa zaoberať ich štúdiom, identifikujeme oblasti, ktoré nie sú dostatočne pokryté. Vyvinieme nové modely, ktoré tieto oblasti budú zachytávať. Takto vytvorené modely podrobíme dôkladnej kalibrácii tak, aby výsledky z výpočtových modelov boli konzistentné s reálnymi výsledkami z laboratórnych experimentov. <br>Novovyvinuté, ako aj existujúce modely budeme aplikovať pre riešenie špecifických úloh týkajúcich sa napr. optimalizácie mikrofluidických zariadení, skúmania vlastností adhézie rakovinových buniek, predpovedania správania sa buniek v špecifických podmienkach šmykového toku.;28.1.2016 12:52
Optimalizácia obehových rozvrhov pri neistote;doc. RNDr. Štefan Peško, CSc.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;FALSE;aplikovaný výskum a experimentálny vývoj;Problematika optimalizácie obehových rozvrhov patrí medzi kombinatorické úlohy s bohatou tradíciou na FRI ŽU. Pri riešení reálnych úloh v osobnej a regionálnej doprave však bola neistote vstupných dát (meškanie niektorých spojov, zápchy čí plánované redukcie v dopravnej sieti) venovaná  len malá pozornosť.<br>V súčasnosti sa tento typ úloh rieši v dvoch etapách. V prvej etape sa hľadajú (exaktne alebo heuristicky) viaceré scenáre riešením deterministicky formulovaných rozvrhovacích úloh. V druhej etape sa tieto scenáre verifikujú pomocou simulácie v neistom prostredí.;1.2.2016 14:25
Využitie finančnej analýzy ako nástroja finančného riadenia malých a stredných podnikov;doc. Ing. Anna Jacková, PhD.;manažment;3.3.15 manažment;TRUE;FALSE;aplikovaný výskum;Neodmysliteľnou súčasťou finančného riadenia podnikov je finančná analýza, pretože pôsobí ako spätná informácia o tom, kam sa podnik v jednotlivých oblastiach finančného riadenia dostal, v ktorých oblastiach sa mu ciele podarilo naplniť a naopak, v ktorých oblastiach za svojimi očakávaniami zaostáva. Finančná analýza poskytuje veľké množstvo ukazovateľov, ktoré možno ďalej analyzovať, spracovávať, porovnávať a tak využiť na získanie informácií s vyššou hodnotou. Okrem toho odhaľuje skryté rezervy a podnecuje k hľadaniu nových možností pre zvyšovanie podnikovej výkonnosti.<br>Malé a stredné podniky sú vo väčšej miere ovplyvnené volatilným ekonomickým prostredím a preto je aj potreba kvalitnej a včasnej interpretácie výsledkov finančnej analýzy akútnejšia, rovnako ako aj ich implementácia do rozhodovacích procesov.;3.2.2016 13:33
Riadenie vzťahov so zainteresovanými stranami nevýrobných organizácií;prof. Ing. Josef Vodák, PhD.;manažment;3.3.15 manažment;TRUE;TRUE;aplikovaný výskum;U mnohých nevýrobných organizácií poskytujúcich produkty a služby spoločenského a kultúrneho významu sa ich organizovanie a riadenie javí do značnej miery ako chaotické. Jedným zo sprievodných znakov je zbytočné plytvanie prostriedkami či už ľudskými, technickými, alebo finančnými, ktoré sa im podarilo z rôznych zdrojov (od rôznych zainteresovaných strán - finanční donori, dodávatelia, zákazníci, zamestnanci, štát, komunita,...) získať. <br>Tieto organizácie by mali byť schopné tieto zdroje efektívne využiť pre napĺňanie ich poslania, ako základného účelu pre ktorý vznikli  (kultúrny, spoločenský, sociálny, charitatívny, športovo, či na vzdelávanie orientovaný účel), čo bohužiaľ často nie sú.  <br>Tieto organizácie nevedia dobre spolupracovať s mnohými zainteresovanými stranami, niekedy ich nevedia dokonca ani správne identifikovať a klasifikovať, napriek tomu, že sú na spoluprácu a rozvoj takýchto vzťahov často odkázané. <br>Kľúčom k riešeniu tejto situácie sa javí návrh modelu riadenia a organizácie vzťahov so zainteresovanými stranami ako aj tvorba návrhov pre jeho správnu implementáciu do praxe.<br>Čiastkové oblasti záujmu sú napr. :<br>- Organizácia a riadenie rôznych druhov podpory<br>- Spolupráca a kooperácia medzi jednotlivými zainteresovanými stranami a vybranými organizáciami navzájom<br>- Riadenie a rozvoj vybraných organizácií s dôrazom na dosahovanie ich poslania.<br>;4.2.2016 18:19
Manažérske rozhodovanie o tvorbe hodnoty pre zainteresované skupiny v podniku ;doc. Ing. Mária Ďurišová, PhD. ;manažment;3.3.15 manažment;TRUE;TRUE;aplikovaný výskum;Hodnotový manažment je štýl riadenia zameraný najmä na ľudí, získanie zručností a podporu synergií a inovácie s cieľom maximalizovať celkovú výkonnosť organizácie. Je procesom manažérskych aktivít prostredníctvom prístupov a metód používaných na rôznych úrovniach manažmentu podnikov orientovaných na hodnotu. Prispieva k naplneniu vrcholového cieľa podniku, ktorým je maximalizácia hodnoty pre vlastníkov rešpektujúca obmedzenia dané zainteresovanými skupinami podnikania. Sú nimi predovšetkým vlastníci, zákazníci, dodávatelia, investori, zamestnanci a štát. Hodnota je miera vyjadrujúca ako podnik, produkt alebo projekt uspokojuje potreby zainteresovaných skupín vo vzťahu k spotrebovaným zdrojom. Účelom hodnotového manažmentu je hľadať optimálny vzťah medzi uspokojením potrieb a použitými zdrojmi. Od schopnosti vnímania hodnoty manažéra závisí jeho schopnosť vyhľadávať a využívať príležitosti pre rast hodnoty podniku. Pri riadení hodnoty musia byť zosúladené očakávania jednotlivých záujmových skupín. Je potrebné definovať kritérium výnosnosti pre vlastníkov, investorov, zamestnancov, odberateľov, dodávateľov, veriteľov. Zvyšovanie hodnoty je výslednicou optimálnej kombinácie množstva činností a faktorov, ktoré je potrebné monitorovať, analyzovať, navrhnúť varianty riešenia s následným výberom optimálneho variantu a jeho verifikáciou. <br>Cieľom dizertačnej práce bude vypracovať model manažérskeho rozhodovania o tvorbe hodnoty zahrňujúci jej vyjadrenie, meranie, finančné a nefinančné metriky, generátory hodnoty a manažérske aktivity orientované na rast hodnoty pre vlastníkov, zákazníkov, dodávateľov, investorov, zamestnancov a štát. Model bude obsahovať ciele, proces a podmienky rozhodovania, subjekty a objekty rozhodovania, informačné podklady, časové, logické nadväznosti. Bude vychádzať z variantov tvorby hodnoty, sumarizácie kritérií výberu a z voľby najvýhodnejšieho variantu podľa zvolených kritérií.<br>;8.2.2016 13:56
Návrh modelu posudzovania efektívnosti ľudského kapitálu pre zvyšovanie výkonnosti a konkurencieschopnosti podniku na trhu;doc. Ing. Alžbeta Kucharčíková, PhD.;manažment;3.3.15 manažment;TRUE;TRUE;aplikovaný výskum;Každá ekonomika alebo podnik vzájomne kombinuje disponibilné výrobné vstupy na účely tvorby výstupu. Pre zabezpečenie prosperity je v záujme manažérov uvedených hospodárskych subjektov vynakladať úsilie na  efektívne využívanie všetkých svojich vstupov. Za jeden z nich sa považuje ľudský kapitál. V skutočnosti však  neexistuje jednotná vedecky a odborne akceptovaná metodika a metriky merania hodnoty ľudského kapitálu a jeho efektívneho využívania, a to ani na makroekonomickej, ani na podnikovej úrovni, ktorá by manažérom umožnila lepšie si uvedomiť východiskový stav a hľadať také prístupy a nástroje riadenia efektívneho využívania ľudského kapitálu, ktorých uplatnenie by prispelo k účinnému dosahovaniu očakávaných podnikových výsledkov. <br>Cieľom práce je navrhnúť model posudzovania  efektívnosti ľudského kapitálu tak, aby výstupy práce prispeli k zvyšovaniu výkonnosti a konkurencieschopnosti podnikov na trhu. K tomu bude potrebné vykonať analýzu dostupných poznatkov o ľudskom kapitáli, jeho zložkách, determinujúcich faktoroch a investíciách do zvyšovania jeho hodnoty, analýzu a komparáciu známych prístupov k meraniu hodnoty ľudského kapitálu, efektívneho využívania a hodnotenia efektívnosti investícií do ľudského kapitálu v kontexte uplatňovania manažmentu ĽK, realizovať prieskum v praxi, analyzovať proces posudzovania efektívnosti ľudského kapitálu. <br>;8.2.2016 14:50
Vplyv informačno-komunikačných systémov podniku na manažérske rozhodovanie a riadenie jeho procesov;doc. Ing. Milan Kubina, PhD.;manažment;3.3.15 manažment;TRUE;FALSE;aplikovaný výskum;Rozhodovanie ako podstatná časť manažmentu sa uskutočňuje predovšetkým na základe empírie, intuície a  až kreativity jednotlivých riadiacich pracovníkov podniku. Takéto rozhodovanie je potom častokrát subjektívne, pomalé a málo efektívne pre podnik. Preto využitie moderných informačných a komunikačných systémov, ktoré slúžia ako podporný prostriedok pre riadiacich pracovníkov podnikov je viac než žiaduci. Moderné informačné a komunikačné systémy urýchľujú riadiace a rozhodovacie procesy v podniku. Rozvoj informačných a komunikačný technológií prináša pre podniky nové príležitosti na pružné riadenie a rozhodovanie v rýchlo sa meniacich konkurenčných podmienkach. Dobre navrhnuté a spravované informačné a komunikačné systémy podporujú a zrýchľujú prácu riadiacich pracovníkov na rôznych úrovniach riadenia v podnikoch.<br>Rámcový postup a úlohy:<br>1. Analýza existujúceho stavu danej problematiky na Slovensku a vo svete.<br>2. Analýza vedeckej a odbornej literatúry zameraná najmä na riadenie podnikových procesov s využitím IS/IKT.<br>3. Skúmanie problematiky vo vybranom odvetví/podniku s dôrazom na využitie IS/IKT v rozhodovaní.<br>4. Vypracovanie východiskového modelu využitia IS/IKT pre rozhodovanie v podniku.<br>5. Vypracovanie komplexnej metodológie využitia IS/IKT v procesoch rozhodovania v danom odvetví.<br>;8.2.2016 15:18
Rozhodovanie v rozvoji tvorivosti a motivácie;prof. Ing. Martina Blašková, PhD.;manažment;3.3.15 manažment;TRUE;TRUE;aplikovaný výskum;Eskalácia nutnosti vynachádzať stále efektívnejšie spôsoby udržania a rozmachu organizácií a krajín sa sústreďuje na snahy podnecovať tvorivosť jednotlivcov i skupín, zvyšovať jej výťažnosť, zachovať podstatu tvorivosti ľudského potenciálu v plnej aktivite čo najdlhšie a na čo najvyššej rezultatívnej úrovni, a motivovať jednotlivcov k ochote odovzdávať svoje tvorivé výstupy ostatným. Tvorivosť spolu s motiváciou tak predstavujú kľúčové atribúty ľudského potenciálu a smerujú k dosiahnutiu mét tzv. nového strategického kapitálu organizácií.<br>Tvorivosť a motivácia rozhodujú o napredovaní. Manažérske rozhodovanie o cestách, spôsoboch, formách, metódach, technikách a pod., ktorými je možné cielene a vo vzájomnom spojení kultivovať tvorivosť a motiváciu, je pomerne zložité a zriedkavo pertraktované v odbornej literatúre. Rozhodovanie o posilňovaní tvorivosti a motivácie, ako proces precíznej prípravy, zdôvodňovania, porovnávania a konkrétnych, opakovaných volieb jednotlivých rozhodnutí, je potenciálne multiplikačné. Mnohé rozhodovacie elementy, napr. kvalita a obozretnosť prijímaných rozhodnutí, trvalé zlepšovanie rozhodovacích kompetencií, šikovné narábanie s realitou a parametrami budúcnosti, sú založené na tvorivosti a motivácii rozhodovateľov, a dokážu vzájomne násobiť, multiplikovať svoje výsledky a dosahy na budúce  tvorivé a motivované správanie.<br>Predmetom skúmania bude motivovanie a tvorivosť ľudského potenciálu a manažérske rozhodovanie, a to oddelene ako skúmanie dvoch samostatných tematík, avšak tiež ich skúmanie vo vzájomných súvislostiach a väzbách. Výskumná činnosť bude sústredená na teoretické poznatky z dostupných literárnych zdrojov aj praktické zvyklosti a tendencie v uvedených oblastiach uplatňované manažérmi a personálnymi odborníkmi (HR manažérmi) slovenských organizácií. V súvislosti s tým budú objektom skúmania slovenské univerzity a vyspelé organizácie a v nich uplatňované motivačné a rozhodovacie procesy a kompetencie.;8.2.2016 18:47
Návrh modelu rozhodovania o zavádzaní flexibilných foriem organizácie pracovného času ako nástroja zvyšovania efektívnosti a výkonnosti v podnikoch;doc. Ing. Alžbeta Kucharčíková, PhD.;manažment;3.3.15 manažment;TRUE;TRUE;aplikovaný výskum;Jeden so spôsobov, ako môžu manažéri zvyšovať efektívnosť organizácie práce, a tým aj efektívnosť  využívania výrobného vstupu práca a následne výkonnosť podnikov, je využívanie flexibilných foriem organizácie pracovného času. V slovenských podnikoch sa pri zamestnávaní väčšinou uplatňujú tradičné modely organizácie pracovného času, ako je zamestnávanie na plný respektíve čiastočný pracovný úväzok, práca na zmeny, pružný pracovný čas. S využívaním rôznych neštandardných modelov zamestnávania, ako je napríklad tvorivá dovolenka, zdieľanie pracovného úväzku, telework, časový koridor, autonómny pracovný čas a pod., sú  stále veľké rezervy. Je to spôsobené jednak neznalosťou manažérov alebo majiteľov, jednak nedôverou v zavádzanie noviniek. <br>Cieľom dizertačnej práce bude navrhnúť model rozhodovania o zavádzaní vhodných flexibilných foriem v podnikoch tak, aby sa zvýšila efektívnosť v podniku. K tomu bude potrebné  vykonať: analýzu známych flexibilných foriem organizácie pracovného času, komparáciu ich využívania v zahraničí a na Slovensku, prieskum využívania týchto foriem v slovenských podnikoch, analyzovať proces rozhodovania o uplatňovaní týchto foriem.<br>;11.2.2016 9:13
Ohodnotenie presnosti  modelov pohybu elastických telies v kvapaline;doc. RNDr. Katarína Bachratá, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;FALSE;základný výskum;V tejto práci bude cieľom porovnať výsledky práce rôznych vedeckých skupín, ktoré sa pokúšajú modelovať tok krvi so zreteľom na pohyb a chovanie rakovinových buniek. Chovanie jednotlivých krvných častíc porovnáme s výsledkami, ktoré získame pozorovaním a nafilmovaním toku krvi v jednoduchých mikrofludických  zariadeniach.Spracovaním videozáznamu metódami počítačového spracovania obrazu a štatistickými metódami získame parametre chovania sa krvi v reálnom experimente.Takéto parametre získame aj pre jednotlivé modely elastických objektov v toku kvapaliny. Pre porovnanie získaných výsledkov vytvoríme účelovú funkciu, ktoráohodnotí podobnosť modelu a výsledkov reálneho experimentu.<br>;14.2.2016 21:16
